Award ID,Recipient,Amount,NAICS Code,NAICS Description,Category Mean,Category Median,Category Std Dev,Z-Score
70FA3020F00000410,"XTEC, INCORPORATED",167991.18,541512,COMPUTER SYSTEMS DESIGN SERVICES,5171468.32,2888224.35,15448564.02,-0.324
70FA3020F00000550,"THE ARCANUM GROUP, INC.",159091.81,541512,COMPUTER SYSTEMS DESIGN SERVICES,5171468.32,2888224.35,15448564.02,-0.324
HSFE5017J0091,"M. C. DEAN, INC.",180482.00,541512,COMPUTER SYSTEMS DESIGN SERVICES,5171468.32,2888224.35,15448564.02,-0.323
70FA3018F00000698,TRILLION TECHNOLOGY SOLUTIONS INC,209483.84,541512,COMPUTER SYSTEMS DESIGN SERVICES,5171468.32,2888224.35,15448564.02,-0.321
70FA3020F00000660,OCT CONSULTING LLC,366356.82,541512,COMPUTER SYSTEMS DESIGN SERVICES,5171468.32,2888224.35,15448564.02,-0.311
70FA3020F00000381,SECURE SHIVA SOLUTIONS LLC,387888.00,541512,COMPUTER SYSTEMS DESIGN SERVICES,5171468.32,2888224.35,15448564.02,-0.310
70FA3019F00000649,AITHERAS LLC,399739.67,541512,COMPUTER SYSTEMS DESIGN SERVICES,5171468.32,2888224.35,15448564.02,-0.309
70FA3019F00000746,SHR CONSULTING GROUP LLC,398765.72,541512,COMPUTER SYSTEMS DESIGN SERVICES,5171468.32,2888224.35,15448564.02,-0.309
70FA3018F00000318,"CONSTELLATION SOFTWARE ENGINEERING, LLC",9890489.64,541512,COMPUTER SYSTEMS DESIGN SERVICES,5171468.32,2888224.35,15448564.02,0.305
70FA3019F00000631,"CKA, LLC",504119.71,541512,COMPUTER SYSTEMS DESIGN SERVICES,5171468.32,2888224.35,15448564.02,-0.302
HSFE3015F0322,TURNING POINT GLOBAL SOLUTIONS LLC,498575.60,541512,COMPUTER SYSTEMS DESIGN SERVICES,5171468.32,2888224.35,15448564.02,-0.302
70FA3019F00000427,AXXUM TECHNOLOGIES LLC,550614.49,541512,COMPUTER SYSTEMS DESIGN SERVICES,5171468.32,2888224.35,15448564.02,-0.299
HSFE3017F0254,CONSTELLATION INC,570078.78,541512,COMPUTER SYSTEMS DESIGN SERVICES,5171468.32,2888224.35,15448564.02,-0.298
70FA3019F00000735,DSG-INSERSO INC.,569536.08,541512,COMPUTER SYSTEMS DESIGN SERVICES,5171468.32,2888224.35,15448564.02,-0.298
70FA3020F00000149,IRONCLAD TECHNOLOGY SERVICES LLC,9754179.34,541512,COMPUTER SYSTEMS DESIGN SERVICES,5171468.32,2888224.35,15448564.02,0.297
70FA2019P00000046,OPEN LMS LLC,578260.00,541512,COMPUTER SYSTEMS DESIGN SERVICES,5171468.32,2888224.35,15448564.02,-0.297
HSFE3017F0001,ACQSIS INC.,633704.80,541512,COMPUTER SYSTEMS DESIGN SERVICES,5171468.32,2888224.35,15448564.02,-0.294
70FA3019F00000428,KONIAG INFORMATION SECURITY SERVICES LLC,628361.02,541512,COMPUTER SYSTEMS DESIGN SERVICES,5171468.32,2888224.35,15448564.02,-0.294
70FA3019F00000651,INTERNATIONAL BUSINESS MACHINES CORPORATION,727673.03,541512,COMPUTER SYSTEMS DESIGN SERVICES,5171468.32,2888224.35,15448564.02,-0.288
70FA3018F00000567,"XTEC, INCORPORATED",720416.12,541512,COMPUTER SYSTEMS DESIGN SERVICES,5171468.32,2888224.35,15448564.02,-0.288
70FA3020F00000171,"KCI-ACUITY, LLC",809675.60,541512,COMPUTER SYSTEMS DESIGN SERVICES,5171468.32,2888224.35,15448564.02,-0.282
70FA3020F00000318,AXXUM TECHNOLOGIES LLC,823255.12,541512,COMPUTER SYSTEMS DESIGN SERVICES,5171468.32,2888224.35,15448564.02,-0.281
70FA5020F00000032,INTUITIVE INFORMATION SYSTEMS TECHNOLOGIES LLC,869383.60,541512,COMPUTER SYSTEMS DESIGN SERVICES,5171468.32,2888224.35,15448564.02,-0.278
70FA3018F00000455,"AEEC, LLC",986696.08,541512,COMPUTER SYSTEMS DESIGN SERVICES,5171468.32,2888224.35,15448564.02,-0.271
70FA3018F00000356,"PPT SOLUTIONS, INC.",1088153.07,541512,COMPUTER SYSTEMS DESIGN SERVICES,5171468.32,2888224.35,15448564.02,-0.264
70FA3020F00000391,NEW LIGHT TECHNOLOGIES INC,1119414.30,541512,COMPUTER SYSTEMS DESIGN SERVICES,5171468.32,2888224.35,15448564.02,-0.262
HSFE8017J0353,ARC ASPICIO LLC,1643286.58,541512,COMPUTER SYSTEMS DESIGN SERVICES,5171468.32,2888224.35,15448564.02,-0.228
70FA3019F00000227,"GARUD TECHNOLOGY SERVICES, INC.",1677093.18,541512,COMPUTER SYSTEMS DESIGN SERVICES,5171468.32,2888224.35,15448564.02,-0.226
70FA3020F00000129,"METROSTAR SYSTEMS, LLC",1700937.66,541512,COMPUTER SYSTEMS DESIGN SERVICES,5171468.32,2888224.35,15448564.02,-0.225
70FA3019F00000733,"BLUEPRINT CONSULTING SERVICES, LLC",1709085.71,541512,COMPUTER SYSTEMS DESIGN SERVICES,5171468.32,2888224.35,15448564.02,-0.224
70FA3020F00000571,AXXUM TECHNOLOGIES LLC,1758339.68,541512,COMPUTER SYSTEMS DESIGN SERVICES,5171468.32,2888224.35,15448564.02,-0.221
70FA3018F00000306,USMAX CORPORATION,1884955.37,541512,COMPUTER SYSTEMS DESIGN SERVICES,5171468.32,2888224.35,15448564.02,-0.213
70FA3018F00000739,"ESTARS ENTERPRISE, LLC",1897830.32,541512,COMPUTER SYSTEMS DESIGN SERVICES,5171468.32,2888224.35,15448564.02,-0.212
70FA5019F00000110,"CORESPHERE, LLC",1895287.48,541512,COMPUTER SYSTEMS DESIGN SERVICES,5171468.32,2888224.35,15448564.02,-0.212
70FA3020F00000094,USMAX CORPORATION,1923633.89,541512,COMPUTER SYSTEMS DESIGN SERVICES,5171468.32,2888224.35,15448564.02,-0.210
70FA3020F00000645,"HALFAKER AND ASSOCIATES, LLC",2053366.97,541512,COMPUTER SYSTEMS DESIGN SERVICES,5171468.32,2888224.35,15448564.02,-0.202
